ANAT,American National Insurance Company,108.24,$2.91B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat,NASDAQ
APEI,"American Public Education, Inc.",23.28,$378.68M,2007,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apei,NASDAQ
ARII,"American Railcar Industries, Inc.",57.23,$1.14B,2006,Capital Goods,Railroads,http://www.nasdaq.com/symbol/arii,NASDAQ
AMRB,American River Bankshares,10.25,$75.27M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amrb,NASDAQ
ASEI,"American Science and Engineering, Inc.",43.56,$312.21M,n/a,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/asei,NASDAQ
AMSWA,"American Software, Inc.",10.35,$296.35M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/amswa,NASDAQ
AMSC,American Superconductor Corporation,4.75,$66.51M,1991,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/amsc,NASDAQ
AMWD,American Woodmark Corporation,84.96,$1.38B,1986,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd,NASDAQ
CRMT,"America&#39;s Car-Mart, Inc.",26.01,$220.4M,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/crmt,NASDAQ
ABCB,Ameris Bancorp,34.46,$1.11B,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb,NASDAQ
AMSF,"AMERISAFE, Inc.",53.87,$1.03B,2005,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf,NASDAQ
ASRV,AmeriServ Financial Inc.,3.33,$62.84M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrv,NASDAQ
ASRVP,AmeriServ Financial Inc.,26.51,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrvp,NASDAQ
ATLO,Ames National Corporation,25.62,$238.55M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/atlo,NASDAQ
AMGN,Amgen Inc.,161.98,$122.19B,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn,NASDAQ
FOLD,"Amicus Therapeutics, Inc.",10.57,$1.32B,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fold,NASDAQ
AMKR,"Amkor Technology, Inc.",6.87,$1.63B,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr,NASDAQ
AMPH,"Amphastar Pharmaceuticals, Inc.",15.49,$697.35M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amph,NASDAQ
AMSG,Amsurg Corp.,82.14,$3.98B,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amsg,NASDAQ
AMSGP,Amsurg Corp.,156.89,$270.64M,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amsgp,NASDAQ
ASYS,"Amtech Systems, Inc.",4.385,$57.66M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asys,NASDAQ
AFSI,"AmTrust Financial Services, Inc.",63.6,$5.27B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi,NASDAQ
AMRS,"Amyris, Inc.",1.68,$322.85M,2010,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amrs,NASDAQ
ANAC,"Anacor Pharmaceuticals, Inc.",116.28,$5.13B,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anac,NASDAQ
ANAD,"ANADIGICS, Inc.",0.348,$30.91M,1995,Technology,Semiconductors,http://www.nasdaq.com/symbol/anad,NASDAQ
ADI,"Analog Devices, Inc.",61.57,$19.21B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi,NASDAQ
